event_id,date,year,month,city,latitude,longitude,narrative_type,tone_score,mentions,description,sector_reference
48,2022-04-10,2022,4,Birmingham,52.4862,-1.8904,False Cyberattack Alert,-10,28,This event involved a false cyberattack alert reported in Birmingham.,Financial Sector
49,2024-05-29,2024,5,London,51.5074,-0.1278,Fake Insolvency Rumour,-10,19,This event involved a fake insolvency rumour reported in London.,Financial Sector
50,2021-07-26,2021,7,London,51.5074,-0.1278,Deepfake Executive Announcement,-7,35,This event involved a deepfake executive announcement reported in London.,Financial Sector
51,2022-11-07,2022,11,London,51.5074,-0.1278,Fake Insolvency Rumour,-6,7,This event involved a fake insolvency rumour reported in London.,Financial Sector
52,2021-08-03,2021,8,Leeds,53.8008,-1.5491,AI-Generated Interest Rate Rumour,-8,19,This event involved a ai-generated interest rate rumour reported in Leeds.,Financial Sector
53,2024-05-06,2024,5,Leeds,53.8008,-1.5491,AI-Generated Interest Rate Rumour,-7,26,This event involved a ai-generated interest rate rumour reported in Leeds.,Financial Sector
54,2020-01-15,2020,1,London,51.5074,-0.1278,Fake Insolvency Rumour,-7,26,This event involved a fake insolvency rumour reported in London.,Financial Sector
55,2021-07-13,2021,7,Manchester,53.4808,-2.2426,Synthetic Regulatory Announcement,-9,18,This event involved a synthetic regulatory announcement reported in Manchester.,Financial Sector
56,2024-06-29,2024,6,Manchester,53.4808,-2.2426,Fake Insolvency Rumour,-10,32,This event involved a fake insolvency rumour reported in Manchester.,Financial Sector
57,2022-11-27,2022,11,London,51.5074,-0.1278,Fake Insolvency Rumour,0,17,This event involved a fake insolvency rumour reported in London.,Financial Sector
58,2024-02-05,2024,2,Birmingham,52.4862,-1.8904,False Cyberattack Alert,-10,15,This event involved a false cyberattack alert reported in Birmingham.,Financial Sector
59,2022-11-02,2022,11,London,51.5074,-0.1278,False Cyberattack Alert,-7,15,This event involved a false cyberattack alert reported in London.,Financial Sector
60,2024-02-25,2024,2,Manchester,53.4808,-2.2426,AI-Generated Interest Rate Rumour,-7,35,This event involved a ai-generated interest rate rumour reported in Manchester.,Financial Sector
61,2022-02-17,2022,2,Birmingham,52.4862,-1.8904,AI-Generated Interest Rate Rumour,-5,33,This event involved a ai-generated interest rate rumour reported in Birmingham.,Financial Sector
62,2023-08-17,2023,8,London,51.5074,-0.1278,Deepfake Executive Announcement,-4,20,This event involved a deepfake executive announcement reported in London.,Financial Sector
63,2021-10-02,2021,10,London,51.5074,-0.1278,Fake Insolvency Rumour,-10,6,This event involved a fake insolvency rumour reported in London.,Financial Sector
64,2021-08-18,2021,8,London,51.5074,-0.1278,Deepfake Executive Announcement,-5,21,This event involved a deepfake executive announcement reported in London.,Financial Sector
65,2023-11-17,2023,11,Birmingham,52.4862,-1.8904,AI-Generated Interest Rate Rumour,-6,27,This event involved a ai-generated interest rate rumour reported in Birmingham.,Financial Sector
66,2023-12-05,2023,12,London,51.5074,-0.1278,Fake Insolvency Rumour,-8,23,This event involved a fake insolvency rumour reported in London.,Financial Sector
67,2024-12-13,2024,12,Manchester,53.4808,-2.2426,Fake Insolvency Rumour,0,22,This event involved a fake insolvency rumour reported in Manchester.,Financial Sector
68,2024-05-30,2024,5,Birmingham,52.4862,-1.8904,Deepfake Executive Announcement,-5,11,This event involved a deepfake executive announcement reported in Birmingham.,Financial Sector
69,2021-08-19,2021,8,London,51.5074,-0.1278,AI-Generated Interest Rate Rumour,-3,26,This event involved a ai-generated interest rate rumour reported in London.,Financial Sector
70,2023-01-09,2023,1,Manchester,53.4808,-2.2426,Fake Insolvency Rumour,-4,13,This event involved a fake insolvency rumour reported in Manchester.,Financial Sector
71,2024-07-09,2024,7,Birmingham,52.4862,-1.8904,False Cyberattack Alert,-3,19,This event involved a false cyberattack alert reported in Birmingham.,Financial Sector
72,2020-10-28,2020,10,Birmingham,52.4862,-1.8904,Fake Insolvency Rumour,-5,19,This event involved a fake insolvency rumour reported in Birmingham.,Financial Sector
73,2024-04-02,2024,4,London,51.5074,-0.1278,Fraudulent Investment Scheme,-4,10,This event involved a fraudulent investment scheme reported in London.,Financial Sector
74,2021-08-31,2021,8,London,51.5074,-0.1278,Fake Insolvency Rumour,-5,9,This event involved a fake insolvency rumour reported in London.,Financial Sector
75,2024-01-12,2024,1,London,51.5074,-0.1278,Deepfake Executive Announcement,0,34,This event involved a deepfake executive announcement reported in London.,Financial Sector
76,2021-04-08,2021,4,Bristol,51.4545,-2.5879,Synthetic Regulatory Announcement,0,34,This event involved a synthetic regulatory announcement reported in Bristol.,Financial Sector
77,2024-05-21,2024,5,London,51.5074,-0.1278,Synthetic Regulatory Announcement,-8,34,This event involved a synthetic regulatory announcement reported in London.,Financial Sector
78,2023-05-23,2023,5,Manchester,53.4808,-2.2426,Fake Insolvency Rumour,-3,16,This event involved a fake insolvency rumour reported in Manchester.,Financial Sector
79,2024-07-18,2024,7,London,51.5074,-0.1278,Synthetic Regulatory Announcement,-8,33,This event involved a synthetic regulatory announcement reported in London.,Financial Sector
80,2022-08-20,2022,8,London,51.5074,-0.1278,Synthetic Regulatory Announcement,-10,9,This event involved a synthetic regulatory announcement reported in London.,Financial Sector
81,2020-02-16,2020,2,Birmingham,52.4862,-1.8904,Synthetic Regulatory Announcement,-4,30,This event involved a synthetic regulatory announcement reported in Birmingham.,Financial Sector
82,2022-06-21,2022,6,London,51.5074,-0.1278,Deepfake Executive Announcement,-5,22,This event involved a deepfake executive announcement reported in London.,Financial Sector
83,2023-11-20,2023,11,London,51.5074,-0.1278,Deepfake Executive Announcement,-6,25,This event involved a deepfake executive announcement reported in London.,Financial Sector
84,2020-06-21,2020,6,London,51.5074,-0.1278,Synthetic Regulatory Announcement,-10,11,This event involved a synthetic regulatory announcement reported in London.,Financial Sector
85,2024-01-14,2024,1,Bristol,51.4545,-2.5879,Fraudulent Investment Scheme,-3,16,This event involved a fraudulent investment scheme reported in Bristol.,Financial Sector
86,2022-06-24,2022,6,Leeds,53.8008,-1.5491,Synthetic Regulatory Announcement,-6,31,This event involved a synthetic regulatory announcement reported in Leeds.,Financial Sector
87,2020-07-05,2020,7,London,51.5074,-0.1278,Fake Insolvency Rumour,-1,6,This event involved a fake insolvency rumour reported in London.,Financial Sector
88,2023-01-22,2023,1,London,51.5074,-0.1278,AI-Generated Interest Rate Rumour,-7,12,This event involved a ai-generated interest rate rumour reported in London.,Financial Sector
89,2021-12-01,2021,12,London,51.5074,-0.1278,AI-Generated Interest Rate Rumour,-1,6,This event involved a ai-generated interest rate rumour reported in London.,Financial Sector
90,2021-08-26,2021,8,London,51.5074,-0.1278,Deepfake Executive Announcement,-8,32,This event involved a deepfake executive announcement reported in London.,Financial Sector
91,2021-10-18,2021,10,Manchester,53.4808,-2.2426,Deepfake Executive Announcement,-10,32,This event involved a deepfake executive announcement reported in Manchester.,Financial Sector
92,2024-07-23,2024,7,Birmingham,52.4862,-1.8904,Deepfake Executive Announcement,-6,21,This event involved a deepfake executive announcement reported in Birmingham.,Financial Sector
93,2021-07-11,2021,7,Birmingham,52.4862,-1.8904,Fake Insolvency Rumour,-6,11,This event involved a fake insolvency rumour reported in Birmingham.,Financial Sector
94,2023-07-19,2023,7,London,51.5074,-0.1278,False Cyberattack Alert,-2,31,This event involved a false cyberattack alert reported in London.,Financial Sector
95,2022-03-27,2022,3,Manchester,53.4808,-2.2426,False Cyberattack Alert,-2,27,This event involved a false cyberattack alert reported in Manchester.,Financial Sector
96,2022-05-26,2022,5,Manchester,53.4808,-2.2426,Synthetic Regulatory Announcement,-5,15,This event involved a synthetic regulatory announcement reported in Manchester.,Financial Sector
97,2022-05-20,2022,5,London,51.5074,-0.1278,AI-Generated Interest Rate Rumour,-9,24,This event involved a ai-generated interest rate rumour reported in London.,Financial Sector
98,2021-08-20,2021,8,London,51.5074,-0.1278,AI-Generated Interest Rate Rumour,0,30,This event involved a ai-generated interest rate rumour reported in London.,Financial Sector
99,2021-10-15,2021,10,Bristol,51.4545,-2.5879,Fake Insolvency Rumour,-2,20,This event involved a fake insolvency rumour reported in Bristol.,Financial Sector
100,2022-02-02,2022,2,London,51.5074,-0.1278,Deepfake Executive Announcement,-5,5,This event involved a deepfake executive announcement reported in London.,Financial Sector
101,2020-08-08,2020,8,London,51.5074,-0.1278,Fake Insolvency Rumour,-1,26,This event involved a fake insolvency rumour reported in London.,Financial Sector
102,2020-05-16,2020,5,Leeds,53.8008,-1.5491,Deepfake Executive Announcement,-5,17,This event involved a deepfake executive announcement reported in Leeds.,Financial Sector
103,2024-09-05,2024,9,London,51.5074,-0.1278,AI-Generated Interest Rate Rumour,-5,20,This event involved a ai-generated interest rate rumour reported in London.,Financial Sector
104,2024-12-13,2024,12,London,51.5074,-0.1278,AI-Generated Interest Rate Rumour,-7,23,This event involved a ai-generated interest rate rumour reported in London.,Financial Sector
105,2024-11-13,2024,11,London,51.5074,-0.1278,Fraudulent Investment Scheme,-7,33,This event involved a fraudulent investment scheme reported in London.,Financial Sector
106,2021-02-25,2021,2,London,51.5074,-0.1278,False Cyberattack Alert,-5,35,This event involved a false cyberattack alert reported in London.,Financial Sector
107,2022-07-28,2022,7,Bristol,51.4545,-2.5879,Fraudulent Investment Scheme,-3,25,This event involved a fraudulent investment scheme reported in Bristol.,Financial Sector
108,2022-03-10,2022,3,London,51.5074,-0.1278,Synthetic Regulatory Announcement,-5,18,This event involved a synthetic regulatory announcement reported in London.,Financial Sector
109,2024-04-04,2024,4,Birmingham,52.4862,-1.8904,Fake Insolvency Rumour,-7,9,This event involved a fake insolvency rumour reported in Birmingham.,Financial Sector
110,2020-05-12,2020,5,Leeds,53.8008,-1.5491,AI-Generated Interest Rate Rumour,-9,23,This event involved a ai-generated interest rate rumour reported in Leeds.,Financial Sector
111,2023-01-10,2023,1,London,51.5074,-0.1278,AI-Generated Interest Rate Rumour,0,25,This event involved a ai-generated interest rate rumour reported in London.,Financial Sector
112,2023-04-24,2023,4,London,51.5074,-0.1278,Fake Insolvency Rumour,-2,20,This event involved a fake insolvency rumour reported in London.,Financial Sector
113,2023-06-30,2023,6,London,51.5074,-0.1278,Synthetic Regulatory Announcement,-5,14,This event involved a synthetic regulatory announcement reported in London.,Financial Sector
114,2024-07-02,2024,7,London,51.5074,-0.1278,Deepfake Executive Announcement,-3,21,This event involved a deepfake executive announcement reported in London.,Financial Sector
115,2021-10-26,2021,10,London,51.5074,-0.1278,Synthetic Regulatory Announcement,-8,33,This event involved a synthetic regulatory announcement reported in London.,Financial Sector
116,2024-01-08,2024,1,London,51.5074,-0.1278,AI-Generated Interest Rate Rumour,-8,11,This event involved a ai-generated interest rate rumour reported in London.,Financial Sector
117,2024-09-03,2024,9,London,51.5074,-0.1278,False Cyberattack Alert,-6,14,This event involved a false cyberattack alert reported in London.,Financial Sector
118,2021-02-23,2021,2,Manchester,53.4808,-2.2426,False Cyberattack Alert,-7,35,This event involved a false cyberattack alert reported in Manchester.,Financial Sector
119,2021-11-22,2021,11,London,51.5074,-0.1278,Deepfake Executive Announcement,-9,15,This event involved a deepfake executive announcement reported in London.,Financial Sector
120,2021-10-02,2021,10,Leeds,53.8008,-1.5491,AI-Generated Interest Rate Rumour,-6,24,This event involved a ai-generated interest rate rumour reported in Leeds.,Financial Sector
121,2021-05-18,2021,5,London,51.5074,-0.1278,Synthetic Regulatory Announcement,-1,27,This event involved a synthetic regulatory announcement reported in London.,Financial Sector
122,2022-08-02,2022,8,Birmingham,52.4862,-1.8904,Synthetic Regulatory Announcement,-10,21,This event involved a synthetic regulatory announcement reported in Birmingham.,Financial Sector
123,2023-02-06,2023,2,London,51.5074,-0.1278,Synthetic Regulatory Announcement,-2,22,This event involved a synthetic regulatory announcement reported in London.,Financial Sector
124,2024-12-22,2024,12,Manchester,53.4808,-2.2426,False Cyberattack Alert,-2,28,This event involved a false cyberattack alert reported in Manchester.,Financial Sector
125,2021-01-04,2021,1,London,51.5074,-0.1278,AI-Generated Interest Rate Rumour,-3,33,This event involved a ai-generated interest rate rumour reported in London.,Financial Sector
126,2024-06-28,2024,6,Leeds,53.8008,-1.5491,Fake Insolvency Rumour,-7,18,This event involved a fake insolvency rumour reported in Leeds.,Financial Sector
127,2022-03-01,2022,3,London,51.5074,-0.1278,Deepfake Executive Announcement,-4,25,This event involved a deepfake executive announcement reported in London.,Financial Sector
128,2020-04-28,2020,4,London,51.5074,-0.1278,AI-Generated Interest Rate Rumour,-2,21,This event involved a ai-generated interest rate rumour reported in London.,Financial Sector
129,2023-07-31,2023,7,Leeds,53.8008,-1.5491,AI-Generated Interest Rate Rumour,-1,33,This event involved a ai-generated interest rate rumour reported in Leeds.,Financial Sector
130,2021-09-06,2021,9,Leeds,53.8008,-1.5491,Fake Insolvency Rumour,-1,23,This event involved a fake insolvency rumour reported in Leeds.,Financial Sector
131,2023-06-26,2023,6,London,51.5074,-0.1278,Fraudulent Investment Scheme,-5,34,This event involved a fraudulent investment scheme reported in London.,Financial Sector
132,2023-08-11,2023,8,London,51.5074,-0.1278,False Cyberattack Alert,-8,34,This event involved a false cyberattack alert reported in London.,Financial Sector
133,2023-07-30,2023,7,Birmingham,52.4862,-1.8904,Fake Insolvency Rumour,-4,10,This event involved a fake insolvency rumour reported in Birmingham.,Financial Sector
134,2024-01-01,2024,1,London,51.5074,-0.1278,Synthetic Regulatory Announcement,-9,10,This event involved a synthetic regulatory announcement reported in London.,Financial Sector
135,2020-01-25,2020,1,Birmingham,52.4862,-1.8904,False Cyberattack Alert,-4,15,This event involved a false cyberattack alert reported in Birmingham.,Financial Sector
136,2021-05-26,2021,5,London,51.5074,-0.1278,Deepfake Executive Announcement,-2,12,This event involved a deepfake executive announcement reported in London.,Financial Sector
137,2021-10-06,2021,10,London,51.5074,-0.1278,AI-Generated Interest Rate Rumour,-7,17,This event involved a ai-generated interest rate rumour reported in London.,Financial Sector
138,2024-12-06,2024,12,Manchester,53.4808,-2.2426,Deepfake Executive Announcement,-5,12,This event involved a deepfake executive announcement reported in Manchester.,Financial Sector
139,2024-08-24,2024,8,Manchester,53.4808,-2.2426,AI-Generated Interest Rate Rumour,-4,30,This event involved a ai-generated interest rate rumour reported in Manchester.,Financial Sector
140,2021-07-07,2021,7,London,51.5074,-0.1278,False Cyberattack Alert,-3,29,This event involved a false cyberattack alert reported in London.,Financial Sector
141,2021-01-22,2021,1,London,51.5074,-0.1278,False Cyberattack Alert,-3,31,This event involved a false cyberattack alert reported in London.,Financial Sector
142,2022-06-26,2022,6,London,51.5074,-0.1278,Fraudulent Investment Scheme,-3,35,This event involved a fraudulent investment scheme reported in London.,Financial Sector
143,2024-08-17,2024,8,Leeds,53.8008,-1.5491,Deepfake Executive Announcement,-7,7,This event involved a deepfake executive announcement reported in Leeds.,Financial Sector
144,2020-05-10,2020,5,Birmingham,52.4862,-1.8904,AI-Generated Interest Rate Rumour,-4,28,This event involved a ai-generated interest rate rumour reported in Birmingham.,Financial Sector
145,2022-07-29,2022,7,London,51.5074,-0.1278,False Cyberattack Alert,-7,5,This event involved a false cyberattack alert reported in London.,Financial Sector
146,2022-04-04,2022,4,Manchester,53.4808,-2.2426,False Cyberattack Alert,-5,31,This event involved a false cyberattack alert reported in Manchester.,Financial Sector
147,2021-08-02,2021,8,Manchester,53.4808,-2.2426,Deepfake Executive Announcement,-4,30,This event involved a deepfake executive announcement reported in Manchester.,Financial Sector
148,2024-05-16,2024,5,London,51.5074,-0.1278,False Cyberattack Alert,0,5,This event involved a false cyberattack alert reported in London.,Financial Sector
149,2023-12-10,2023,12,London,51.5074,-0.1278,Deepfake Executive Announcement,-4,35,This event involved a deepfake executive announcement reported in London.,Financial Sector
150,2023-08-03,2023,8,Birmingham,52.4862,-1.8904,Fake Insolvency Rumour,-5,12,This event involved a fake insolvency rumour reported in Birmingham.,Financial Sector
151,2024-09-04,2024,9,London,51.5074,-0.1278,False Cyberattack Alert,-7,35,This event involved a false cyberattack alert reported in London.,Financial Sector
152,2024-10-15,2024,10,Birmingham,52.4862,-1.8904,Synthetic Regulatory Announcement,-3,8,This event involved a synthetic regulatory announcement reported in Birmingham.,Financial Sector
153,2021-07-19,2021,7,London,51.5074,-0.1278,Synthetic Regulatory Announcement,-6,14,This event involved a synthetic regulatory announcement reported in London.,Financial Sector
154,2023-10-16,2023,10,Birmingham,52.4862,-1.8904,Fraudulent Investment Scheme,-5,6,This event involved a fraudulent investment scheme reported in Birmingham.,Financial Sector
155,2021-05-05,2021,5,London,51.5074,-0.1278,AI-Generated Interest Rate Rumour,-9,34,This event involved a ai-generated interest rate rumour reported in London.,Financial Sector
156,2024-04-13,2024,4,Birmingham,52.4862,-1.8904,Deepfake Executive Announcement,-10,16,This event involved a deepfake executive announcement reported in Birmingham.,Financial Sector
157,2023-06-12,2023,6,Leeds,53.8008,-1.5491,Synthetic Regulatory Announcement,-5,14,This event involved a synthetic regulatory announcement reported in Leeds.,Financial Sector
158,2022-07-19,2022,7,London,51.5074,-0.1278,False Cyberattack Alert,-8,26,This event involved a false cyberattack alert reported in London.,Financial Sector
159,2024-11-20,2024,11,London,51.5074,-0.1278,Synthetic Regulatory Announcement,-1,12,This event involved a synthetic regulatory announcement reported in London.,Financial Sector
160,2024-03-02,2024,3,London,51.5074,-0.1278,Fake Insolvency Rumour,-9,13,This event involved a fake insolvency rumour reported in London.,Financial Sector
161,2021-08-13,2021,8,London,51.5074,-0.1278,Deepfake Executive Announcement,0,30,This event involved a deepfake executive announcement reported in London.,Financial Sector
162,2023-04-07,2023,4,London,51.5074,-0.1278,Deepfake Executive Announcement,-7,7,This event involved a deepfake executive announcement reported in London.,Financial Sector
163,2020-04-01,2020,4,Bristol,51.4545,-2.5879,False Cyberattack Alert,-6,27,This event involved a false cyberattack alert reported in Bristol.,Financial Sector
164,2024-11-02,2024,11,London,51.5074,-0.1278,AI-Generated Interest Rate Rumour,-7,19,This event involved a ai-generated interest rate rumour reported in London.,Financial Sector
165,2023-10-30,2023,10,London,51.5074,-0.1278,Deepfake Executive Announcement,-4,27,This event involved a deepfake executive announcement reported in London.,Financial Sector
166,2021-04-02,2021,4,London,51.5074,-0.1278,False Cyberattack Alert,-6,21,This event involved a false cyberattack alert reported in London.,Financial Sector
167,2024-11-10,2024,11,London,51.5074,-0.1278,Deepfake Executive Announcement,-8,23,This event involved a deepfake executive announcement reported in London.,Financial Sector
168,2023-12-18,2023,12,London,51.5074,-0.1278,Fake Insolvency Rumour,-6,32,This event involved a fake insolvency rumour reported in London.,Financial Sector
169,2021-01-22,2021,1,Birmingham,52.4862,-1.8904,Fake Insolvency Rumour,-10,23,This event involved a fake insolvency rumour reported in Birmingham.,Financial Sector
170,2024-12-24,2024,12,Manchester,53.4808,-2.2426,False Cyberattack Alert,-3,31,This event involved a false cyberattack alert reported in Manchester.,Financial Sector
171,2021-01-07,2021,1,London,51.5074,-0.1278,Deepfake Executive Announcement,-2,26,This event involved a deepfake executive announcement reported in London.,Financial Sector
172,2023-09-13,2023,9,Leeds,53.8008,-1.5491,Fake Insolvency Rumour,-2,14,This event involved a fake insolvency rumour reported in Leeds.,Financial Sector
173,2020-05-08,2020,5,London,51.5074,-0.1278,False Cyberattack Alert,-8,7,This event involved a false cyberattack alert reported in London.,Financial Sector
174,2021-03-11,2021,3,Manchester,53.4808,-2.2426,False Cyberattack Alert,-6,9,This event involved a false cyberattack alert reported in Manchester.,Financial Sector
175,2020-05-11,2020,5,London,51.5074,-0.1278,Synthetic Regulatory Announcement,-6,25,This event involved a synthetic regulatory announcement reported in London.,Financial Sector
176,2024-09-27,2024,9,London,51.5074,-0.1278,Synthetic Regulatory Announcement,-9,34,This event involved a synthetic regulatory announcement reported in London.,Financial Sector
177,2023-03-31,2023,3,Manchester,53.4808,-2.2426,Fake Insolvency Rumour,-3,26,This event involved a fake insolvency rumour reported in Manchester.,Financial Sector
178,2023-11-13,2023,11,Manchester,53.4808,-2.2426,Fraudulent Investment Scheme,-6,10,This event involved a fraudulent investment scheme reported in Manchester.,Financial Sector
179,2023-06-21,2023,6,Leeds,53.8008,-1.5491,AI-Generated Interest Rate Rumour,-6,27,This event involved a ai-generated interest rate rumour reported in Leeds.,Financial Sector
180,2023-10-03,2023,10,London,51.5074,-0.1278,Fraudulent Investment Scheme,-2,18,This event involved a fraudulent investment scheme reported in London.,Financial Sector
181,2020-09-26,2020,9,London,51.5074,-0.1278,Synthetic Regulatory Announcement,-8,34,This event involved a synthetic regulatory announcement reported in London.,Financial Sector
